"user","ecletic","clusters_total","clusters","media_pop","mediana_pop","dp_pop","news","news_total","old","old_total","count_sim.x","tempo_sim.x","count_pop.x","tempo_pop.x","count_sim.y","tempo_sim.y","count_pop.y","tempo_pop.y"
"__eNeRGy__",793.867327199,47,13,5.87794807802,5.92375678446,0.430531662971,19,19,68,76,0.146198830409357,0.164223580051484,0.12280701754386,0.0234605114359262,0.19187706280181,0.22349372154398,0.0373216254877663,-0.0360757582019811
"__Tiago__",1731.90417179,54,28,4.50555875366,4.5858838234,0.81243105244,70,74,276,322,0.123625934092319,0.137859655776093,-0.175605719234295,0.0245324366037719,0.0955389693211937,0.118895762141131,0.0622808309344975,0.134545770383642
"_arisa_",2317.52578132,65,37,5.11625954783,5.11856892335,0.650910966541,15,15,101,104,0.257142857142857,0.281606491288605,0.0285714285714286,-0.029131705995373,0.170191646911559,0.166650194145333,0.0354912558059482,0.00893480823132649
"_Denver_",3219.16750488,152,57,5.00510166241,4.94442949552,0.83956465278,112,114,92,296,0.0915243609968662,0.0183013967820936,-0.0162680315205777,0.0239603286348684,0.2451612973215,0.0165329602219102,-0.0181600960978889,-0.0107823653621153
"_Dominik",2048.91342395,95,40,5.68795362728,5.89200105227,0.649842718084,33,33,80,88,-0.0742158731557038,-0.11675287996604,0.0742158731557038,0.0823012104678644,0.0861577835950793,0.155561233152351,0.0652518508109792,0.182283408172387
"_eva",2618.73993586,120,61,5.68773928583,5.88194870195,0.621104505989,39,39,106,113,0.0769230769230769,-0.00543119438668406,-0.0445344129554656,0.0651743326402087,0.117319045203803,0.0834538885358377,0.159064472331536,0.197008855658036
"_Fiktiv_",781.441961437,36,13,5.10954954502,5.05504560166,0.922677853993,51,51,67,92,0.121855383568503,0.131070704970007,0.0494505646841467,0.0709508723611201,0.270233514085644,0.300045516294715,-0.0887480758784073,-0.0485042043711935
"_Genya",1562.88467954,69,27,5.70536157132,5.82125339786,0.652529662526,14,14,165,173,-0.0883991392175728,-0.393357759735486,0.0220997848043932,-0.0337163794058988,0.280473434924238,0.262604051662349,0.142376426551153,0.153916686542367
"_johnny",2680.89052226,99,50,5.68354788847,5.86652953105,0.687243275451,14,14,63,67,-0.0883991392175728,-0.0220997848043932,-0.220997848043932,-0.198898063239539,0.241865239811563,0.280801413341772,0.232069702584061,0.275084131086944
"_jscar_",2578.33303849,95,41,4.99024096392,4.93376025667,0.875154115674,39,40,40,83,-0.0716216870176404,-0.0300777245690918,0.00675676292619249,0.0437494175550426,0.0628608211421582,0.0924262635734086,0.157793489805826,0.213093885460914
"_Karlos_",2571.18318334,90,42,5.33644634923,5.46101654371,0.875765689512,56,56,110,123,-0.0461788837654863,-0.0346297402063569,0.0572172135271329,0.0692369899167765,0.0290362978960367,0.00956392330169607,0.101793917911393,0.0937935636078615
"_kazik_",3860.95077087,150,72,5.46345643536,5.6378238212,0.745564906637,15,15,63,70,-0.306223600940381,-0.182700753743383,0.516752326586893,0.509638944652595,0.133162616402118,0.0343590150205547,0.14647887804233,0.295897786072538
"_laymon",3057.60535036,148,60,5.7061370214,5.80737061446,0.5656255505,50,50,132,144,0.0375663567455019,-0.0467217038590101,0.0489995957550025,0.0762301484015428,0.235123950244678,0.263359809373683,0.169134664406921,0.191476501224909
"_maladjusted",2622.33216729,114,51,5.45352804202,5.65453461495,0.873564271929,32,32,108,124,-0.218182263406767,-0.148531149208583,0.210101438836146,0.299096971693995,0.242356071908893,0.220022612798881,0.0235579509802375,0.0620389220435492
"_mana",4319.61651994,172,76,5.20381598029,5.3944183611,0.848745100196,67,67,259,275,-0.0258152412194784,-0.0263579460576929,0.168025517410991,0.161783255112736,0.0984603657262932,0.06228275535043,0.164203070167988,0.179103797254261
"_Marmeladka_",266.623146015,10,5,6.03514147923,6.30577341894,0.633587307201,13,13,50,53,-0.230769230769231,-0.348394347512444,0.230769230769231,0.219359403989316,0.177287640867185,0.199346139133017,-0.012254906050727,-0.0172274441226064
"_PennyLane_",2822.98361376,144,63,5.45074538585,5.60967016406,0.753342873315,97,101,89,124,-0.0896292445357001,-0.0369972345119309,0.0606060732029292,0.0892569965672222,0.0406389938965273,-0.0289783335272505,-0.0922684075260776,-0.17258777401628
"_pluginbaby",2380.03891319,116,49,5.55499941592,5.75122379019,0.749881439943,19,19,201,219,0.0760233918128655,0.0292397660818713,0.134502923976608,0.251461988304094,0.195699796520303,0.193069569215238,0.100888442437262,0.160986798774694
"_Poch_",2259.14114868,88,40,5.71803599657,5.93653395586,0.689046199627,30,31,142,150,0.241379310344828,0.172811518644875,-0.135632183908046,-0.117511832678515,0.105910644025034,0.121510576961963,0.154900093714585,0.24119244504176
"_ren_",4332.53768929,167,89,5.62927908761,5.73275494404,0.567836425551,35,35,103,108,-0.107653528402545,-0.13232128089151,0.28259051205668,0.183214081234398,0.0160076314700729,-0.00649789984548662,-0.00381134082620784,0.030196122811379
"_Retaliation_",1878.43169565,81,35,5.54251472284,5.59570450018,0.685440562391,22,22,100,108,0.026030430005648,-0.197385508487931,0.121475340026357,0.135976683625019,0.246609236855555,0.108466182307266,0.028345889293742,0.0319018183256664
"_Rocha_",2555.01486625,110,45,5.50047271968,5.59451851066,0.71954221257,49,49,89,96,0.235348099981579,0.159724418491125,-0.0222416305783891,0.0535112424966671,0.218130889575577,0.190898032377072,0.139879949118219,0.140472137032185
"_scream_for_me",749.171501373,32,12,5.9709768943,6.17033272261,0.490857642158,13,13,34,37,0.0256410256410256,-0.311714600079679,-0.0769230769230769,0.129881083366533,0.193030184327247,0.125790276144677,0.160858486939373,0.0179700394492396
"_thalis_",1862.42703681,80,36,5.53131582517,5.59838756452,0.68232571599,25,25,93,96,0.357262601362385,0.312136627605193,-0.0701169591458887,0.0245500718341163,0.347347581286548,0.521813682920219,-0.000936330511520313,-0.258259638459724
"_Tinderstick_",1595.26278075,91,35,5.15626164231,5.29208320548,0.777445080433,40,42,110,124,-0.0833868035559241,-0.130224230816249,0.121873020581735,0.0520896923264995,0.215710918227674,0.207584838342818,0.126220939767896,0.102453162149842
"_violence",2314.56074664,89,43,5.00086558556,5.03510246101,0.841312745704,18,22,70,103,0.0457516339869281,-0.0196078431372549,0.137254901960784,0.150326797385621,0.208169229572464,0.196967267418508,0.00414507994581388,-0.0556596678011803
"_zer0",2057.09970673,79,33,5.66708288533,5.76902428696,0.591934122022,17,18,100,105,-0.205882352941176,-0.0973953562079149,-0.176470588235294,-0.262218266713617,0.153877300692954,0.15175824170686,-0.0177921610954848,-0.0433551176620744
"_zeru",1697.64033676,74,32,5.63376204267,5.74914784214,0.606683310121,23,23,128,137,0.33596837944664,0.400841045171684,0.328063241106719,0.0320672836137347,0.226187552999026,0.162379102881717,0.181146941248404,0.0685655663082859
"00blixt",1159.49603209,37,19,5.53636206975,5.66040557939,0.68521896372,38,38,116,119,0.155514370730486,0.20839559644175,0.269231042393303,0.0830367983675158,0.101298116890559,0.1313694866418,0.0727518288220833,0.117788722095998
"0ctane",3439.83725706,155,57,4.72616738294,4.73093542897,0.88195293549,32,32,130,141,0.0748233978271244,-0.0203258750152324,0.1314465096963,-0.142281125106627,0.135180398111589,0.055713506015607,-0.0185074758796935,-0.0504243140118698
"0sebastian0",1611.4463656,68,25,5.80408634956,5.89607294796,0.616710363591,24,24,10,13,-0.123188405797101,-0.0434782608695652,-0.166666666666667,-0.115942028985507,0.288888888888889,0.155555555555556,-0.111111111111111,-0.244444444444444
"0xkirill",697.097414578,37,13,4.99796260096,5.21429003443,0.868581066772,36,36,46,71,0.084193831165046,-0.0016065423090396,0.09372520827807,0.130129927032208,0.113152804642166,0.211093089702318,0.0173997120371487,0.00388923664000339
"111ArcherAvenue",1660.15626504,72,31,5.80035660144,5.86512139141,0.544858020701,28,28,128,133,0.0373345280573471,0.163103936416576,0.0952380952380952,0.0901859936612243,0.175706514441161,0.174300437300733,0.150834253812489,0.213308183892116
"1900lazio",1907.90256034,93,37,4.40939628712,4.36350558786,0.828668142403,25,25,95,167,0.153333333333333,-0.0201346816564207,0.0866666666666667,-0.0536924844171219,0.0829503841029458,0.0899070266506202,-0.00627732636454725,-0.0137451845255334
