"","user","fam_novid","fam_conhec","pop_novid","pop_conhec"
"1","-Colt45-",0.116562414654803,0.172284197645936,0.106602327635757,0.132530124253702
"2","-Erikku-",0.0849673202614379,0.0722105279160228,0.398692810457516,-0.00399915842633168
"3","-FLC-",-0.0689656308208596,0.140868417237647,-0.235935052808204,0.197940663307329
"4","-HAnnez-",-0.0885717900896769,0.179421055857005,0.0142857725951092,0.224769234809875
"5","-hopper-",0.0196583331400491,-0.00533841996618559,-0.0290194441591202,0.0457578854244479
"6","-mariechen-",0.00867681000188266,0.140161872692987,0.038961038961039,0.315986233704308
"7","-Samutin-",0.0800005289308654,0.137688795223042,-0.072727753573514,0.00596805418888944
"8","-schuetzz-",0.0598075919479881,0.265065236580068,0.30621529932601,0.209937888198758
"9","-xerces-",-0.00284900284900285,0.215561620536236,-0.133903133903134,0.180992769237227
"10","-Zelgadis-",-0.0196078431372549,-0.124051432512808,-0.0196078431372549,0.0428802904768649
"11","__eNeRGy__",0.146198830409357,0.19187706280181,0.12280701754386,0.0373216254877663
"12","__Tiago__",0.123625934092319,0.0955389693211937,-0.175605719234295,0.0622808309344975
"13","_arisa_",0.257142857142857,0.170191646911559,0.0285714285714286,0.0354912558059482
"14","_Denver_",0.0915243609968662,0.2451612973215,-0.0162680315205777,-0.0181600960978889
"15","_Dominik",-0.0742158731557038,0.0861577835950793,0.0742158731557038,0.0652518508109792
"16","_eva",0.0769230769230769,0.117319045203803,-0.0445344129554656,0.159064472331536
"17","_Fiktiv_",0.121855383568503,0.270233514085644,0.0494505646841467,-0.0887480758784073
"18","_Genya",-0.0883991392175728,0.280473434924238,0.0220997848043932,0.142376426551153
"19","_johnny",-0.0883991392175728,0.241865239811563,-0.220997848043932,0.232069702584061
"20","_jscar_",-0.0716216870176404,0.0628608211421582,0.00675676292619249,0.157793489805826
"21","_Karlos_",-0.0461788837654863,0.0290362978960367,0.0572172135271329,0.101793917911393
"22","_kazik_",-0.306223600940381,0.133162616402118,0.516752326586893,0.14647887804233
"23","_laymon",0.0375663567455019,0.235123950244678,0.0489995957550025,0.169134664406921
"24","_maladjusted",-0.218182263406767,0.242356071908893,0.210101438836146,0.0235579509802375
"25","_mana",-0.0258152412194784,0.0984603657262932,0.168025517410991,0.164203070167988
"26","_Marmeladka_",-0.230769230769231,0.177287640867185,0.230769230769231,-0.012254906050727
"27","_PennyLane_",-0.0896292445357001,0.0406389938965273,0.0606060732029292,-0.0922684075260776
"28","_pluginbaby",0.0760233918128655,0.195699796520303,0.134502923976608,0.100888442437262
"29","_Poch_",0.241379310344828,0.105910644025034,-0.135632183908046,0.154900093714585
"30","_ren_",-0.107653528402545,0.0160076314700729,0.28259051205668,-0.00381134082620784
"31","_Retaliation_",0.026030430005648,0.246609236855555,0.121475340026357,0.028345889293742
"32","_Rocha_",0.235348099981579,0.218130889575577,-0.0222416305783891,0.139879949118219
"33","_scream_for_me",0.0256410256410256,0.193030184327247,-0.0769230769230769,0.160858486939373
"34","_thalis_",0.357262601362385,0.347347581286548,-0.0701169591458887,-0.000936330511520313
"35","_Tinderstick_",-0.0833868035559241,0.215710918227674,0.121873020581735,0.126220939767896
"36","_violence",0.0457516339869281,0.208169229572464,0.137254901960784,0.00414507994581388
"37","_zer0",-0.205882352941176,0.153877300692954,-0.176470588235294,-0.0177921610954848
"38","_zeru",0.33596837944664,0.226187552999026,0.328063241106719,0.181146941248404
"39","00blixt",0.155514370730486,0.101298116890559,0.269231042393303,0.0727518288220833
"40","0ctane",0.0748233978271244,0.135180398111589,0.1314465096963,-0.0185074758796935
"41","0sebastian0",-0.123188405797101,0.288888888888889,-0.166666666666667,-0.111111111111111
"42","0xkirill",0.084193831165046,0.113152804642166,0.09372520827807,0.0173997120371487
"43","111ArcherAvenue",0.0373345280573471,0.175706514441161,0.0952380952380952,0.150834253812489
"44","1900lazio",0.153333333333333,0.0829503841029458,0.0866666666666667,-0.00627732636454725
"45","1Ferdi",-0.00689655172413793,0.127498323990058,0.0206896551724138,0.225782312741119
"46","1gOR",0.287238106045408,0.0188816317037591,-0.0851075869764172,0.270152576684554
"47","1uLyMaN",-0.164835164835165,0.274528789919457,-0.0769230769230769,-0.0251329173869925
"48","200iso",0.134199134199134,0.107101459398374,-0.0303030303030303,0.0749275433138828
"49","20lbcat",0.0400575935374693,0.144677701819365,0.211732994412338,0.121689189613179
