"","user","fam_AT","pop_AT","ecletic","media_pop","propNov","fam_AT_norm","pop_AT_norm","ecletic_norm","media_norm","propNov_norm","cluster","nome"
"1","00blixt",0.155514370730486,0.269231042393303,11.5949603209,5.53636206975,0.24203821656051,0.59348681046862,1.27661184010363,-0.615984193611575,0.157781820561367,0.142255289531679,1,"Averso a artistas diferentes"
"2","_Rocha_",0.235348099981579,-0.0222416305783891,25.5501486625,5.50047271968,0.337931034482759,1.06302995387491,-0.374850700744387,0.724571672806021,0.0626008931528402,1.05771105787776,1,"Averso a artistas diferentes"
"3","Rochu",0.283333333333333,0.366666666666667,14.7570505004,5.25385227441,0.124031007751938,1.34525574385651,1.82867485853703,-0.312229171715239,-0.591452820634645,-0.984318966507179,1,"Averso a artistas diferentes"
"4","bakesaleffc",0.0849673202614379,0.111111111111111,18.9812195058,5.66681912436,0.122448979591837,0.178563392183916,0.380716040296135,0.0935507004236345,0.503762548006864,-0.999422045509663,1,"Averso a artistas diferentes"
"5","rocker_ego777",-0.0196078431372549,0.215686274509804,13.1617557507,5.77894880859,0.146341463414634,-0.436496826160782,0.973231157734863,-0.465475525904561,0.801137878410466,-0.771328715794087,1,"Averso a artistas diferentes"
"6","Rock-et",0.214023597338856,0,17.0490293622,5.81398505643,0.25,0.937609607157201,-0.248831271982512,-0.092058319579048,0.894056322345001,0.218263699065681,1,"Averso a artistas diferentes"
"7","rockload",-0.00529100529100529,0.0582010582010582,9.77154614873,5.87767474931,0.274509803921569,-0.35229215341121,0.0809316058777316,-0.791144034208267,1.06296559550985,0.452250371552708,1,"Averso a artistas diferentes"
"8","rocknrollstar1",0.584306547468143,0.111111111111111,19.9054066297,5.86495839626,0.10752688172043,3.1154337171474,0.380716040296135,0.18232947146455,1.02924098711788,-1.14187818422988,1,"Averso a artistas diferentes"
"9","rodgriffith",0.0688259109311741,0.276653171390014,14.7069024393,5.73034769086,0.248407643312102,0.0836274779151242,1.31866507235501,-0.317046468039121,0.672244503367177,0.203062017158881,1,"Averso a artistas diferentes"
"10","rodolphourie",0.208791208791209,0.230769230769231,11.8251395076,5.38334860414,0.153846153846154,0.906835244125029,1.05869006890391,-0.593872843230292,-0.248019999041008,-0.699684016075732,1,"Averso a artistas diferentes"
"11","r_odrigo",0.242424242424242,0.212121212121212,6.23691794636,6.11892309075,0.2,1.10464838003246,0.953031778731269,-1.13068560514983,1.70277213503319,-0.259069112807854,1,"Averso a artistas diferentes"
